n01440764 鲤鱼，丁鱼岁
n01443537 金鱼，鲫鱼
n01484850 大白鲨，白鲨，食人鲨，噬人鲨
n01491361 虎鲨，居氏鼬鲨 
n01494475 锤头鲨
n01496331 电魟，电鱼，电鳗，电鳐
n01498041 魟，黄貂鱼
n01514668 公鸡
n01514859 母鸡
n01518878 鸵鸟
n01530575 燕雀，花雀
n01531178 金翅雀，黄雀黄雀
n01532829 房子雀，红雀，朱雀mexicanus 
n01534433 洪科，雪鸟
n01537544 靛蓝彩旗，靛雀，鸟靛蓝，白色霞的Passerina
n01558993 罗宾，美国罗宾，鸫migratorius 
n01560419 鹎
n01580077 松鸦
n01582220 喜鹊
n01592084 山雀
n01601694 水黑乙鸟，斗
n01608432 风筝
n01614925 秃鹰，美国之鹰，白头海雕
n01616318 秃鹫
n01622779 乌林鸮，乌林鸮，Strix公司豹
n01629819 欧洲火蝾螈，蝾螈
n01630670 常见的蝾螈，Triturus寻常
n01631663  EFT 
n01632458 发现蝾螈Ambystoma maculatum 
n01632777 蝾螈，泥小狗，Ambystoma mexicanum 
n01641577 牛蛙，牛蛙
n01644373 行为青蛙，树蛙
n01644900 尾蛙，铃蟾，肋蟾蜍，尾蟾蜍，Ascaphus球衣
n01664065 海龟，蠵龟，科圆科圆
n01665541 皮龟，棱皮，革龟，棱皮龟
n01667114 泥龟
n01667778 鳖
n01669191 箱龟，箱龟
n01675722 带状壁虎
n01677366 常见鬣蜥，鬣蜥，鬣蜥鬣蜥
n01682714 美国变色龙，阿诺立，安乐蜥
n01685808 鞭尾，鞭尾蜥蜴
n01687978 阿含
n01688243 皱褶蜥蜴，伞蜥蜴kingi 
n01689811 鳄蜥
n01692333 毒蜥，毒蜥属suspectum 
n01693334 绿色的蜥蜴，蝎虎座贻贝
n01694178 非洲变色龙，避役属蜓座
n01695060 科莫多龙，科莫多蜥蜴，蜥蜴龙，巨型蜥蜴，巨蜥komodoensis 
n01697457 非洲鳄，尼罗鳄，尼罗鳄
n01698640 美洲短吻鳄，短吻鳄密西西比
n01704323 三角龙
n01728572 雷声蛇，虫蛇，Carphophis amoenus 
n01728920  ringneck蛇，环颈蛇，蛇环
n01729322 猪鼻蛇，粉扑加法器，沙毒蛇
n01729977 青蛇，草蛇
n01734418 王蛇，王蛇属
n01735189 乌梢蛇，草蛇
n01737021 水蛇
n01739381 藤蛇
n01740131 晚上蛇，Hypsiglena torquata
n01742172 蟒蛇，缩缩
n01744401 岩蟒，石蛇，蟒蛇鲷
n01748264 印度眼镜蛇，纳哈·纳哈
n01749939 绿曼巴
n01751748 海蛇
n01753488 有角的毒蛇，cerastes，沙毒蛇，有角的ASP，cerastes cornutus 
n01755581 钻石背，钻石背响尾蛇，响尾蛇adamanteus 
n01756291 出品的，有角响尾蛇，响尾蛇cerastes 
n01768244 三叶虫
n01770081  harvestman，成年长腿，phalangium Opilio 
n01770393 蝎子
n01773157 黑色和金色花园蜘蛛，金蛛aurantia 
n01773549 谷仓蜘蛛，圆蛛cavaticus 
n01773797 花园蜘蛛，ARANEA diademata 
n01774384 黑寡妇，黑寡妇蜘蛛
n01774750 狼蛛
n01775062 狼蛛，狩猎蜘蛛
n01776313 蜱
n01784675 蜈蚣
n01795545 黑琴鸡
n01796340 雷鸟
n01797886 披肩松鸡，部分岭，斑尾榛umbellus 
n01798484 草原鸡，草原鸡，草原鸡
n01806143 孔雀
n01806567 鹌鹑
n01807496 部分脊
n01817953 非洲灰，非洲灰鹦鹉，Psittacus鸲
n01818515 金刚鹦鹉
n01819313 葵花凤头鹦鹉，鹦鹉galerita，Cacatua galerita 
n01820546 吸蜜
n01824575  Grootvleiloerie 
n01828970 蜜蜂食
n01829413 它纸币
n01833805 蜂鸟
n01843065  jacamar 
n01843383 坎
n01847000 龙
n01855032 红胸秋沙鸭，中华秋serrator 
n01855672 鹅
n01860187 黑天鹅，天鹅atratus 
n01871265 塔斯克
n01872401 针鼹，刺食蚁兽，食蚁兽
n01873310 鸭嘴兽，鸭嘴，鸭嘴兽，鸭嘴兽，鸭嘴兽anatinus 
